date,meter_value
18-02-2017,427
19-02-2017,579
20-02-2017,300
21-02-2017,280
22-02-2017,363
23-02-2017,284
24-02-2017,202
25-02-2017,468
26-02-2017,669
27-02-2017,115
28-02-2017,378
