date,meter_value
28-05-2016,26
28-05-2016,638
29-05-2016,309
29-05-2016,891
29-05-2016,158
29-05-2016,554
30-05-2016,142
30-05-2016,298
30-05-2016,41
30-05-2016,447
31-05-2016,24
31-05-2016,516
31-05-2016,15
31-05-2016,402
01-06-2016,16
01-06-2016,1561
01-06-2016,196
01-06-2016,538
02-06-2016,54
02-06-2016,201
02-06-2016,38
02-06-2016,316
03-06-2016,117
03-06-2016,2185
03-06-2016,64
03-06-2016,186
04-06-2016,87
04-06-2016,472
04-06-2016,96
04-06-2016,847
05-06-2016,37
05-06-2016,399
05-06-2016,152
05-06-2016,241
06-06-2016,76
06-06-2016,152
06-06-2016,33
06-06-2016,774
07-06-2016,25
07-06-2016,237
07-06-2016,110
07-06-2016,381
08-06-2016,15
08-06-2016,422
08-06-2016,169
08-06-2016,398
09-06-2016,103
09-06-2016,94
09-06-2016,21
09-06-2016,4
10-06-2016,156
10-06-2016,262
10-06-2016,45
10-06-2016,779
11-06-2016,20
11-06-2016,384
11-06-2016,0
11-06-2016,140
12-06-2016,40
12-06-2016,314
12-06-2016,165
12-06-2016,685
13-06-2016,114
13-06-2016,251
13-06-2016,99
13-06-2016,390
14-06-2016,56
14-06-2016,260
14-06-2016,34
14-06-2016,487
15-06-2016,110
15-06-2016,296
15-06-2016,162
15-06-2016,277
16-06-2016,63
16-06-2016,289
16-06-2016,15
16-06-2016,322
17-06-2016,95
17-06-2016,163
17-06-2016,133
17-06-2016,395
18-06-2016,55
18-06-2016,355
18-06-2016,75
18-06-2016,583
19-06-2016,45
19-06-2016,149
19-06-2016,194
19-06-2016,428
20-06-2016,27
20-06-2016,312
20-06-2016,113
20-06-2016,511
21-06-2016,0
21-06-2016,105
21-06-2016,17
21-06-2016,504
22-06-2016,145
22-06-2016,49
22-06-2016,143
22-06-2016,542
23-06-2016,55
23-06-2016,266
23-06-2016,76
23-06-2016,286
24-06-2016,81
24-06-2016,117
24-06-2016,245
24-06-2016,463
25-06-2016,138
25-06-2016,211
25-06-2016,59
25-06-2016,456
26-06-2016,42
26-06-2016,225
26-06-2016,78
26-06-2016,446
27-06-2016,23
27-06-2016,230
27-06-2016,7
27-06-2016,386
28-06-2016,58
28-06-2016,432
28-06-2016,68
28-06-2016,410
29-06-2016,83
29-06-2016,205
29-06-2016,61
29-06-2016,343
30-06-2016,44
30-06-2016,326
30-06-2016,20
30-06-2016,78
01-07-2016,23
01-07-2016,181
01-07-2016,77
01-07-2016,798
02-07-2016,49
02-07-2016,648
02-07-2016,93
02-07-2016,511
03-07-2016,222
03-07-2016,349
03-07-2016,263
03-07-2016,33
04-07-2016,55
04-07-2016,206
04-07-2016,252
04-07-2016,908
05-07-2016,11
05-07-2016,318
05-07-2016,274
05-07-2016,307
06-07-2016,18
06-07-2016,240
06-07-2016,301
06-07-2016,532
07-07-2016,12
07-07-2016,199
07-07-2016,355
07-07-2016,80
08-07-2016,64
08-07-2016,158
08-07-2016,59
08-07-2016,104
09-07-2016,0
09-07-2016,2
09-07-2016,47
09-07-2016,102
10-07-2016,7
10-07-2016,54
10-07-2016,186
10-07-2016,27
11-07-2016,67
11-07-2016,178
11-07-2016,194
11-07-2016,474
12-07-2016,49
12-07-2016,148
12-07-2016,265
12-07-2016,425
13-07-2016,69
13-07-2016,36
13-07-2016,432
13-07-2016,231
14-07-2016,15
14-07-2016,162
14-07-2016,209
14-07-2016,442
15-07-2016,39
15-07-2016,98
15-07-2016,497
15-07-2016,359
16-07-2016,0
16-07-2016,192
16-07-2016,272
16-07-2016,278
17-07-2016,40
17-07-2016,256
17-07-2016,397
17-07-2016,706
18-07-2016,30
18-07-2016,189
18-07-2016,172
18-07-2016,507
19-07-2016,52
19-07-2016,141
19-07-2016,32
19-07-2016,362
20-07-2016,35
20-07-2016,59
20-07-2016,99
20-07-2016,270
21-07-2016,77
21-07-2016,95
21-07-2016,15
21-07-2016,514
22-07-2016,68
22-07-2016,113
22-07-2016,20
22-07-2016,459
23-07-2016,0
23-07-2016,253
23-07-2016,11
23-07-2016,320
24-07-2016,7
24-07-2016,220
24-07-2016,121
24-07-2016,510
25-07-2016,34
25-07-2016,190
25-07-2016,105
25-07-2016,414
26-07-2016,61
26-07-2016,173
26-07-2016,20
26-07-2016,394
27-07-2016,81
27-07-2016,29
27-07-2016,19
27-07-2016,9
28-07-2016,32
28-07-2016,72
